locations,lat,lon,timestamp_s,datetime,altitude
"{'timestampMs': '1407948587056', 'latitudeE7': 340725851, 'longitudeE7': -1182512637, 'accuracy': 30, 'activity': [{'timestampMs': '1407948523328', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 100}]}]}",34.0725851,-118.2512637,1407948587,2014-08-13 16:49:47,
"{'timestampMs': '1411591893232', 'latitudeE7': 341792896, 'longitudeE7': -1183961059, 'accuracy': 40}",34.1792896,-118.3961059,1411591893,2014-09-24 20:51:33,
"{'timestampMs': '1411595304520', 'latitudeE7': 343937259, 'longitudeE7': -1185656788, 'accuracy': 95, 'activity': [{'timestampMs': '1411595325208', 'activity': [{'type': 'UNKNOWN', 'confidence': 41}, {'type': 'ON_BICYCLE', 'confidence': 23}, {'type': 'ON_FOOT', 'confidence': 21}, {'type': 'UNKNOWN', 'confidence': 21}, {'type': 'IN_VEHICLE', 'confidence': 15}]}]}",34.3937259,-118.5656788,1411595304,2014-09-24 21:48:24,
"{'timestampMs': '1413145922925', 'latitudeE7': 374289797, 'longitudeE7': -1221940246, 'accuracy': 39}",37.4289797,-122.1940246,1413145922,2014-10-12 20:32:02,
"{'timestampMs': '1463753196396', 'latitudeE7': 339710698, 'longitudeE7': -1182734809, 'accuracy': 3625, 'activity': [{'timestampMs': '1463753220770', 'activity': [{'type': 'STILL', 'confidence': 92}, {'type': 'IN_VEHICLE', 'confidence': 8}]}]}",33.9710698,-118.2734809,1463753196,2016-05-20 14:06:36,
"{'timestampMs': '1463755054791', 'latitudeE7': 338338978, 'longitudeE7': -1182085325, 'accuracy': 38, 'activity': [{'timestampMs': '1463755275776', 'activity': [{'type': 'UNKNOWN', 'confidence': 48}, {'type': 'IN_VEHICLE', 'confidence': 33}, {'type': 'STILL', 'confidence': 16}, {'type': 'ON_BICYCLE', 'confidence': 4}]}, {'timestampMs': '1463755208685', 'activity': [{'type': 'UNKNOWN', 'confidence': 42}, {'type': 'IN_VEHICLE', 'confidence': 31}, {'type': 'STILL', 'confidence': 23}, {'type': 'ON_BICYCLE', 'confidence': 2}, {'type': 'ON_FOOT', 'confidence': 2}, {'type': 'WALKING', 'confidence': 2}]}, {'timestampMs': '1463755195937', 'activity': [{'type': 'TILTING', 'confidence': 100}]}, {'timestampMs': '1463755179670', 'activity': [{'type': 'UNKNOWN', 'confidence': 60}, {'type': 'ON_BICYCLE', 'confidence': 23}, {'type': 'ON_FOOT', 'confidence': 10}, {'type': 'WALKING', 'confidence': 10}, {'type': 'IN_VEHICLE', 'confidence': 4}, {'type': 'STILL', 'confidence': 4}]}, {'timestampMs': '1463755107415', 'activity': [{'type': 'TILTING', 'confidence': 100}]}, {'timestampMs': '1463755060629', 'activity': [{'type': 'UNKNOWN', 'confidence': 56}, {'type': 'ON_FOOT', 'confidence': 19}, {'type': 'IN_VEHICLE', 'confidence': 17}, {'type': 'WALKING', 'confidence': 16}, {'type': 'STILL', 'confidence': 6}, {'type': 'RUNNING', 'confidence': 4}, {'type': 'ON_BICYCLE', 'confidence': 2}]}, {'timestampMs': '1463754956507', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",33.8338978,-118.2085325,1463755054,2016-05-20 14:37:34,
"{'timestampMs': '1411278281372', 'latitudeE7': 340561279, 'longitudeE7': -1182331023, 'accuracy': 28}",34.0561279,-118.2331023,1411278281,2014-09-21 05:44:41,
"{'timestampMs': '1407464614576', 'latitudeE7': 340466526, 'longitudeE7': -1182542581, 'accuracy': 3752, 'activity': [{'timestampMs': '1407464635764', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 72}, {'type': 'UNKNOWN', 'confidence': 10}, {'type': 'ON_BICYCLE', 'confidence': 8}, {'type': 'ON_FOOT', 'confidence': 8}, {'type': 'UNKNOWN', 'confidence': 8}, {'type': 'STILL', 'confidence': 3}]}]}",34.0466526,-118.2542581,1407464614,2014-08-08 02:23:34,
"{'timestampMs': '1411643957384', 'latitudeE7': 341099867, 'longitudeE7': -1182690865, 'accuracy': 53}",34.1099867,-118.2690865,1411643957,2014-09-25 11:19:17,
"{'timestampMs': '1407514643319', 'latitudeE7': 341724345, 'longitudeE7': -1183286166, 'accuracy': 2273, 'activity': [{'timestampMs': '1407514684479', 'activity': [{'type': 'TILTING', 'confidence': 100}]}, {'timestampMs': '1407514729902', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 60}, {'type': 'UNKNOWN', 'confidence': 33}, {'type': 'ON_BICYCLE', 'confidence': 6}, {'type': 'STILL', 'confidence': 2}]}]}",34.1724345,-118.3286166,1407514643,2014-08-08 16:17:23,
"{'timestampMs': '1407516141918', 'latitudeE7': 340564069, 'longitudeE7': -1182347430, 'accuracy': 879, 'activity': [{'timestampMs': '1407516156946', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",34.0564069,-118.234743,1407516141,2014-08-08 16:42:21,
"{'timestampMs': '1407947576988', 'latitudeE7': 340908509, 'longitudeE7': -1182907287, 'accuracy': 61, 'activity': [{'timestampMs': '1407947576568', 'activity': [{'type': 'UNKNOWN', 'confidence': 52}, {'type': 'ON_FOOT', 'confidence': 14}, {'type': 'STILL', 'confidence': 14}, {'type': 'IN_VEHICLE', 'confidence': 12}, {'type': 'ON_BICYCLE', 'confidence': 10}, {'type': 'UNKNOWN', 'confidence': 10}, {'type': 'UNKNOWN', 'confidence': 4}]}]}",34.0908509,-118.2907287,1407947576,2014-08-13 16:32:56,
"{'timestampMs': '1407948946434', 'latitudeE7': 340592874, 'longitudeE7': -1182413825, 'accuracy': 49}",34.0592874,-118.2413825,1407948946,2014-08-13 16:55:46,
"{'timestampMs': '1408758168314', 'latitudeE7': 340435145, 'longitudeE7': -1182555917, 'accuracy': 3605, 'activity': [{'timestampMs': '1408758172025', 'activity': [{'type': 'STILL', 'confidence': 100}]}]}",34.0435145,-118.2555917,1408758168,2014-08-23 01:42:48,
"{'timestampMs': '1408759473119', 'latitudeE7': 340478458, 'longitudeE7': -1182575610, 'accuracy': 27, 'activity': [{'timestampMs': '1408759490247', 'activity': [{'type': 'STILL', 'confidence': 82}, {'type': 'IN_VEHICLE', 'confidence': 18}]}]}",34.0478458,-118.257561,1408759473,2014-08-23 02:04:33,
"{'timestampMs': '1408761978429', 'latitudeE7': 340461413, 'longitudeE7': -1182578146, 'accuracy': 40}",34.0461413,-118.2578146,1408761978,2014-08-23 02:46:18,
"{'timestampMs': '1409242974722', 'latitudeE7': 341018852, 'longitudeE7': -1182938956, 'accuracy': 27, 'activity': [{'timestampMs': '1409242960615', 'activity': [{'type': 'ON_FOOT', 'confidence': 82}, {'type': 'UNKNOWN', 'confidence': 82}, {'type': 'ON_BICYCLE', 'confidence': 16}, {'type': 'UNKNOWN', 'confidence': 3}]}, {'timestampMs': '1409242960699', 'activity': [{'type': 'EXITING_VEHICLE', 'confidence': 100}]}, {'timestampMs': '1409242963108', 'activity': [{'type': 'TILTING', 'confidence': 100}]}, {'timestampMs': '1409242981526', 'activity': [{'type': 'ON_FOOT', 'confidence': 58}, {'type': 'UNKNOWN', 'confidence': 56}, {'type': 'ON_BICYCLE', 'confidence': 31}, {'type': 'IN_VEHICLE', 'confidence': 6}, {'type': 'UNKNOWN', 'confidence': 6}, {'type': 'UNKNOWN', 'confidence': 2}]}]}",34.1018852,-118.2938956,1409242974,2014-08-28 16:22:54,
"{'timestampMs': '1409244208625', 'latitudeE7': 340986480, 'longitudeE7': -1182918794, 'accuracy': 24, 'activity': [{'timestampMs': '1409244208892', 'activity': [{'type': 'STILL', 'confidence': 100}]}]}",34.098648,-118.2918794,1409244208,2014-08-28 16:43:28,
"{'timestampMs': '1411587946809', 'latitudeE7': 340558584, 'longitudeE7': -1182374340, 'accuracy': 37, 'activity': [{'timestampMs': '1411587971699', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",34.0558584,-118.237434,1411587946,2014-09-24 19:45:46,
"{'timestampMs': '1411589220846', 'latitudeE7': 340438885, 'longitudeE7': -1182591410, 'accuracy': 3392, 'activity': [{'timestampMs': '1411589250412', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 81}, {'type': 'UNKNOWN', 'confidence': 19}]}]}",34.0438885,-118.259141,1411589220,2014-09-24 20:07:00,
"{'timestampMs': '1411591832045', 'latitudeE7': 341724790, 'longitudeE7': -1183884028, 'accuracy': 129}",34.172479,-118.3884028,1411591832,2014-09-24 20:50:32,
"{'timestampMs': '1411593700653', 'latitudeE7': 344203831, 'longitudeE7': -1185457352, 'accuracy': 42}",34.4203831,-118.5457352,1411593700,2014-09-24 21:21:40,
"{'timestampMs': '1411595003620', 'latitudeE7': 343945661, 'longitudeE7': -1185647254, 'accuracy': 37, 'activity': [{'timestampMs': '1411594915695', 'activity': [{'type': 'UNKNOWN', 'confidence': 66}, {'type': 'IN_VEHICLE', 'confidence': 16}, {'type': 'STILL', 'confidence': 14}, {'type': 'ON_FOOT', 'confidence': 6}, {'type': 'UNKNOWN', 'confidence': 6}]}]}",34.3945661,-118.5647254,1411595003,2014-09-24 21:43:23,
"{'timestampMs': '1411610118217', 'latitudeE7': 343925821, 'longitudeE7': -1185670246, 'accuracy': 39, 'activity': [{'timestampMs': '1411610118515', 'activity': [{'type': 'STILL', 'confidence': 100}]}]}",34.3925821,-118.5670246,1411610118,2014-09-25 01:55:18,
"{'timestampMs': '1411612686706', 'latitudeE7': 341713326, 'longitudeE7': -1184378557, 'accuracy': 3929, 'activity': [{'timestampMs': '1411612687047', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 100}]}]}",34.1713326,-118.4378557,1411612686,2014-09-25 02:38:06,
"{'timestampMs': '1411662133580', 'latitudeE7': 341001937, 'longitudeE7': -1182594155, 'accuracy': 30}",34.1001937,-118.2594155,1411662133,2014-09-25 16:22:13,
"{'timestampMs': '1411663701540', 'latitudeE7': 340488887, 'longitudeE7': -1182505453, 'accuracy': 3694, 'activity': [{'timestampMs': '1411663720214', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 43}, {'type': 'UNKNOWN', 'confidence': 35}, {'type': 'ON_FOOT', 'confidence': 17}, {'type': 'UNKNOWN', 'confidence': 17}, {'type': 'STILL', 'confidence': 3}, {'type': 'ON_BICYCLE', 'confidence': 2}]}]}",34.0488887,-118.2505453,1411663701,2014-09-25 16:48:21,
"{'timestampMs': '1415640423971', 'latitudeE7': 340566719, 'longitudeE7': -1182306171, 'accuracy': 42}",34.0566719,-118.2306171,1415640423,2014-11-10 17:27:03,
"{'timestampMs': '1415666856881', 'latitudeE7': 340854154, 'longitudeE7': -1182916083, 'accuracy': 58, 'activity': [{'timestampMs': '1415666882253', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 62}, {'type': 'ON_BICYCLE', 'confidence': 38}]}]}",34.0854154,-118.2916083,1415666856,2014-11-11 00:47:36,
"{'timestampMs': '1415668074528', 'latitudeE7': 341072511, 'longitudeE7': -1182722684, 'accuracy': 46, 'activity': [{'timestampMs': '1415668091329', 'activity': [{'type': 'STILL', 'confidence': 100}]}]}",34.1072511,-118.2722684,1415668074,2014-11-11 01:07:54,
"{'timestampMs': '1433468975738', 'latitudeE7': 340807206, 'longitudeE7': -1182204319, 'accuracy': 41}",34.0807206,-118.2204319,1433468975,2015-06-05 01:49:35,
"{'timestampMs': '1433470106096', 'latitudeE7': 340935901, 'longitudeE7': -1182121341, 'accuracy': 37}",34.0935901,-118.2121341,1433470106,2015-06-05 02:08:26,
"{'timestampMs': '1433480525432', 'latitudeE7': 340901510, 'longitudeE7': -1182126703, 'accuracy': 30}",34.090151,-118.2126703,1433480525,2015-06-05 05:02:05,
"{'timestampMs': '1457664217103', 'latitudeE7': 341247570, 'longitudeE7': -1182589418, 'accuracy': 346}",34.124757,-118.2589418,1457664217,2016-03-11 02:43:37,
"{'timestampMs': '1463751407587', 'latitudeE7': 341271411, 'longitudeE7': -1182611398, 'accuracy': 34}",34.1271411,-118.2611398,1463751407,2016-05-20 13:36:47,
"{'timestampMs': '1463778138898', 'latitudeE7': 340759206, 'longitudeE7': -1182233315, 'accuracy': 39, 'activity': [{'timestampMs': '1463778169078', 'activity': [{'type': 'STILL', 'confidence': 50}, {'type': 'IN_VEHICLE', 'confidence': 46}, {'type': 'ON_FOOT', 'confidence': 2}, {'type': 'UNKNOWN', 'confidence': 2}, {'type': 'WALKING', 'confidence': 2}]}]}",34.0759206,-118.2233315,1463778138,2016-05-20 21:02:18,
